code4,income_security,job_security_score,wage_nrm,wage_abs
1111,0.477428848386591,0.842105263157895,0.566946757459077,2989
1112,0.494119990136758,0.954545454545455,0.517649513476603,2729.1
1113,0,0.333333333333333,0,0
1211,0,0,0,0
1212,0.0834088882987803,0.257142857142857,0.324367898939701,1710.1
1213,0.0304554038099106,0.0983606557377049,0.309629938734091,1632.4
1214,0,0.130434782608696,0,0
1311,0.445428797118856,0.935483870967742,0.476148024506364,2510.3
1321,0.533753153392386,1,0.533753153392386,2814
1322,0.548548016919254,0.952380952380952,0.575975417765217,3036.6
1323,0.516342925676967,0.961538461538462,0.536996642704046,2831.1
1324,0.479334610496766,1,0.479334610496766,2527.1
1325,0.611615864645966,1,0.611615864645966,3224.5
1331,0.336062585223261,0.722222222222222,0.465317425693746,2453.2
1332,0.659452590049506,1,0.659452590049506,3476.7
1333,0.168130346541226,0.533333333333333,0.3152443997648,1662
1334,0.130288983844035,0.413793103448276,0.314865044289752,1660
1335,0.424810192936746,0.927272727272727,0.458128639441589,2415.3
1336,0.448314848786198,0.964285714285714,0.464919102444946,2451.1
1341,0.231187524895203,0.9375,0.246600026554883,1300.1
1342,0.421228537842411,0.974358974358974,0.432313499364579,2279.2
1343,0.484095521708617,1,0.484095521708617,2552.2
1344,0.434509836752874,0.896551724137931,0.484645587147436,2555.1
1351,0.570351704161946,0.914634146341463,0.623584529883727,3287.6
1391,0.471647920183608,0.875,0.539026194495552,2841.8
1392,0,1,0,0
1399,0.458219447658428,0.9625,0.476072153411354,2509.9
1411,0.083969218650454,0.352941176470588,0.237912786176286,1254.3
1412,0.0673128354924982,0.4,0.168282088731246,887.2
1413,0.214557134095838,0.833333333333333,0.257468560915005,1357.4
1414,0.141698753817264,0.5,0.283397507634529,1494.1
1419,0.0690323504003062,0.181818181818182,0.379677927201684,2001.7
1421,0.195509784290503,0.719745222929936,0.271637487908044,1432.1
1491,0.165576019675904,0.666666666666667,0.248364029513856,1309.4
1492,0.38368012746344,1,0.38368012746344,2022.8
1493,0.172257734109748,0.64,0.26915270954648,1419
1494,0.247580028198757,0.666666666666667,0.371370042298135,1957.9
1499,0.315682620744596,0.862068965517241,0.366191840063732,1930.6
2111,0.0173417182388939,0.0909090909090909,0.190758900627833,1005.7
2112,0,0,0.13410216042943,707
2113,0,0,0.240169951252821,1266.2
2114,0,0,0.208930027882627,1101.5
2121,0.250109064699076,0.666666666666667,0.375163597048614,1977.9
2122,0.139413137080101,0.5,0.278826274160202,1470
2123,0.226926067995092,0.846153846153846,0.268185353085108,1413.9
2124,0.249538450838692,0.791666666666667,0.315206464217295,1661.8
2211,0.249704418859025,0.866666666666667,0.288120483298875,1519
2212,0.329836940371642,0.888888888888889,0.371066557918097,1956.3
2221,0.240683079448018,0.631578947368421,0.381081542459361,2009.1
2222,0.550728312596898,0.947368421052632,0.581324329963392,3064.8
2223,0.475465184651277,1,0.475465184651277,2506.7
2231,0.305792125844856,0.944444444444444,0.323779897953377,1707
2232,0.212377420762125,0.75,0.2831698943495,1492.9
2233,0.269526645657599,0.857142857142857,0.314447753267199,1657.8
2241,0.376629951865626,0.923076923076923,0.408015781187762,2151.1
2242,0.26479012158343,1,0.26479012158343,1396
2243,0.232506970656854,0.5,0.465013941313708,2451.6
2244,0.328020113182541,0.967741935483871,0.338954116955293,1787
2245,0.308609472506212,0.9,0.342899413895791,1807.8
2246,0.220619349543308,0.818181818181818,0.269645871664043,1421.6
2247,0.277317984891817,0.685185185185185,0.404734356328598,2133.8
2249,0.34210276739819,1,0.34210276739819,1803.6
2251,0.261775969899867,0.818181818181818,0.319948407655393,1686.8
2252,0.518546418206895,0.904761904761905,0.573130251702357,3021.6
2253,0.25776379843689,0.869565217391304,0.296428368202424,1562.8
2254,0.368430037366514,1,0.368430037366514,1942.4
2311,0.630318089565828,1,0.630318089565828,3323.1
2312,0.313210106029855,0.75,0.417613474706474,2201.7
2321,0.272633296030045,0.863636363636364,0.315680658561105,1664.3
2322,0.298867307777419,0.916666666666667,0.326037063029912,1718.9
2323,0.135363517383965,0.5,0.270727034767929,1427.3
2324,0.134553593444737,0.6,0.224255989074562,1182.3
2325,0.144045067430436,0.6,0.240075112384059,1265.7
2326,0.305221116822518,0.8125,0.375656759166177,1980.5
2331,0.479323229832515,0.8,0.599154037290643,3158.8
2332,0.365099838231987,0.942857142857143,0.387227101155137,2041.5
2333,0.40467891206686,0.923076923076923,0.438402154739098,2311.3
2334,0.44261300051213,1,0.44261300051213,2333.5
2335,0.372787883386127,0.75,0.497050511181502,2620.5
2336,0.610629540410842,1,0.610629540410842,3219.3
2339,0.334797013207893,0.833333333333333,0.401756415849472,2118.1
2341,0.243466550330988,0.6,0.405777583884979,2139.3
2342,0.328403819688127,0.888888888888889,0.369454297149143,1947.8
2343,0.229974772860909,0.75,0.306633030481212,1616.6
2344,0.373554497575286,0.833333333333333,0.448265397090343,2363.3
2345,0.213556440335143,0.727272727272727,0.293640105460822,1548.1
2346,0.269551032795281,0.818181818181818,0.329451262305343,1736.9
2347,0.165954742891827,0.7,0.237078204131181,1249.9
2349,0.19533159316168,0.692307692307692,0.282145634566871,1487.5
2411,0.190734096616003,0.846153846153846,0.225413023273458,1188.4
2412,0.221746181073408,0.88659793814433,0.250109064699076,1318.6
2413,0.160941560289069,0.5,0.321883120578138,1697
2414,0.272871748042932,0.887755102040816,0.307372773657556,1620.5
2415,0.338098003923766,0.972972972972973,0.347489615143871,1832
2421,0.197051623085481,0.586206896551724,0.336146886439939,1772.2
