us_nsw_wk_7day_avg,us_vic_wk_7day_avg,ds_nsw_wk_7day_avg,ds_vic_wk_7day_avg,cases_nsw_wk_7day_avg,cases_vic_wk_7day_avg
25681705.9384879,30258804.5755264,187581903.799061,207729545.721095,2.14285714285714,10.5714285714286
25681705.9384879,30258804.5755264,187581903.799061,207729545.721095,2.14285714285714,10.7142857142857
25519852.7387644,30072301.3037212,186823385.921261,206824682.744188,2.42857142857143,9.42857142857143
25347707.4379481,29933189.3519333,185613385.146103,207639064.958001,2.28571428571429,9.14285714285714
25193744.106475,29849566.2175362,184402963.223662,209223452.991988,1.85714285714286,8.57142857142857
25049441.7840302,29809017.2624487,183997611.456127,211310842.615354,1.85714285714286,7.28571428571429
24876665.9452498,29696507.257328,181774742.701863,209687976.608019,1.57142857142857,6.71428571428571
24876665.9452498,29696507.257328,181774742.701863,209687976.608019,1.71428571428571,6.28571428571429
24876665.9452498,29696507.257328,181774742.701863,209687976.608019,1.71428571428571,5.71428571428571
24335595.0392985,28909574.3327234,176833611.797127,207603572.47763,1.71428571428571,5.42857142857143
23774028.7469734,28280810.1543423,172006692.284669,200864209.667347,1.14285714285714,5.85714285714286
23055886.5795143,27629509.0549929,164158216.964819,193329228.797309,1.14285714285714,6.57142857142857
22279614.7164747,26921392.0421183,155976011.179012,187021446.614749,1,6
21590191.3408443,26359749.6791679,149363566.374858,182314541.277368,1.14285714285714,5.85714285714286
21590191.3408443,26359749.6791679,149363566.374858,182314541.277368,1.28571428571429,6.71428571428571
21590191.3408443,26359749.6791679,149363566.374858,182314541.277368,1.85714285714286,7
21421907.9239486,26746330.324044,149370748.555336,182579164.648582,2.14285714285714,7.57142857142857
21243967.3303971,26694670.8471674,149673958.361057,185065824.16641,2.28571428571429,7.42857142857143
21003425.8372635,26535516.7605161,146812004.800359,182854188.72401,2.42857142857143,7.14285714285714
20861679.3632666,26359854.0615361,145608816.33366,180874346.988499,2.57142857142857,6.71428571428571
20566126.8931334,26112402.9795749,143486196.958553,180010174.078351,2.42857142857143,5.71428571428571
20566126.8931334,26112402.9795749,143486196.958553,180010174.078351,2.28571428571429,5.14285714285714
20566126.8931334,26112402.9795749,143486196.958553,180010174.078351,2,4.85714285714286
19998326.1221453,24202464.9193838,151972426.72112,179832821.322063,1.57142857142857,3.57142857142857
19904542.604422,23205908.8063393,151972267.966522,171447634.797717,1.85714285714286,3.14285714285714
19975740.145692,22262809.7901579,155939990.931862,164650798.241441,1.57142857142857,3
19914529.4364605,21376075.3967115,157289600.129197,158921904.594519,1.57142857142857,3.28571428571429
20151983.998398,20769030.5082884,165043240.007285,158795302.438667,2,4.28571428571429
20151983.998398,20769030.5082884,165043240.007285,158795302.438667,3.14285714285714,5.14285714285714
20151983.998398,20769030.5082884,165043240.007285,158795302.438667,3.57142857142857,6.57142857142857
20476188.6774231,21494081.6612556,155457298.097994,152046783.635424,3.42857142857143,7.85714285714286
20362650.5485491,21572532.3118556,154511002.09823,153765349.48265,3,10.1428571428571
20248941.365241,21628504.8362278,154144175.182594,155911066.455586,3.28571428571429,11.7142857142857
20260966.246297,21717941.2592667,156282674.203505,158488963.864603,3.85714285714286,12.7142857142857
20052078.4873135,21670976.8868553,150613850.50501,154946995.500959,3.57142857142857,15.1428571428571
20052078.4873135,21670976.8868553,150613850.50501,154946995.500959,3.14285714285714,16.1428571428571
20052078.4873135,21670976.8868553,150613850.50501,154946995.500959,2.42857142857143,16.2857142857143
20100403.1201837,21835633.9367636,151883058.384656,157645538.158249,2.57142857142857,17.4285714285714
20136417.9632577,21965426.9292499,152647866.258822,160031797.322414,4,17.1428571428571
20048755.3880741,22085082.3897072,151402217.033225,161951328.565416,4.28571428571429,19.2857142857143
19888502.66209,22154409.844014,148525881.446307,162210883.515857,4.14285714285714,21.5714285714286
19803745.6158629,22294730.7263904,148643323.311769,164899168.598194,4.71428571428571,23.7142857142857
19803745.6158629,22294730.7263904,148643323.311769,164899168.598194,5.28571428571429,28
19803745.6158629,22294730.7263904,148643323.311769,164899168.598194,5.57142857142857,36
19805347.1653246,22643557.2528975,149160400.207456,171343022.044968,6.28571428571429,42.2857142857143
20034559.6903736,23099941.5540012,155099782.66608,185637314.76624,6.42857142857143,50.5714285714286
20091670.0278217,23304171.5152853,156586341.682252,190903003.963168,6.71428571428571,56.2857142857143
20221511.3477699,23958844.6491269,159698667.023714,202979623.354557,6.57142857142857,61.1428571428571
20387832.1981044,24435278.6453277,162273610.784834,212904672.769235,7,69.7142857142857
20387832.1981044,24435278.6453277,162273610.784834,212904672.769235,7.28571428571429,72.7142857142857
20387832.1981044,24435278.6453277,162273610.784834,212904672.769235,8,76.8571428571429
20797741.9519905,24405960.6405699,172206754.745334,214046316.767803,9,92.1428571428571
20881328.2536621,24314414.7769477,175957673.099039,206285902.796754,8.28571428571429,98.7142857142857
21047334.1009315,24192029.4141174,181256973.590917,204967334.273117,9.28571428571429,109.571428571429
21282617.4622829,24300148.131882,188590010.696352,206178231.399975,9.85714285714286,121.142857142857
21529587.4980356,24490623.3885855,196398885.85533,208674037.228662,9.85714285714286,148.285714285714
21529587.4980356,24490623.3885855,196398885.85533,208674037.228662,8.42857142857143,175.142857142857
21529587.4980356,24490623.3885855,196398885.85533,208674037.228662,9.42857142857143,185
21549553.4995862,24823637.2395656,196889474.50772,208372814.417142,10,196.428571428571
21751681.5481236,25050586.623599,200428524.31204,206945923.592998,10.5714285714286,210.142857142857
21789728.7753058,25394572.6387219,200058665.73231,206958006.856857,10,231
21924172.9240926,25543128.7589571,202240597.056948,206637037.71279,10,264.714285714286
21967300.8844249,25703673.0693282,202809252.103608,204657914.803693,10.7142857142857,253.428571428571
21967300.8844249,25703673.0693282,202809252.103608,204657914.803693,12.8571428571429,265
21967300.8844249,25703673.0693282,202809252.103608,204657914.803693,13.5714285714286,278.571428571429
21883716.8702346,26131901.9989111,200667783.945063,206245901.594567,13.1428571428571,291.857142857143
21296726.3275958,26656425.0003724,188208279.738342,209023427.149185,13.7142857142857,323
20843345.5598624,27159971.2497398,178387617.258482,211604556.658328,14.7142857142857,334.285714285714
20432559.3886585,27576163.9920085,168302283.04185,212804080.60306,14.4285714285714,321.142857142857
20029506.1317312,28017259.2684106,158897839.728646,213458115.648385,15.1428571428571,338.571428571429
20029506.1317312,28017259.2684106,158897839.728646,213458115.648385,15.4285714285714,348.714285714286
20029506.1317312,28017259.2684106,158897839.728646,213458115.648385,13.7142857142857,381.571428571429
19883883.5179692,28144956.1313691,156681872.207196,214584562.4682,13.8571428571429,384
20030801.1443433,28179566.6771591,159750773.072719,215353743.941194,15,360.857142857143
20046788.403247,28238489.2204085,159011778.146977,215903875.304943,14.8571428571429,396.857142857143
20009616.1283667,28250283.2859588,157988214.606815,214380991.742509,17,434.285714285714
20009936.4207616,28271554.8287486,157450996.353259,214825508.27923,16.5714285714286,439.285714285714
20009936.4207616,28271554.8287486,157450996.353259,214825508.27923,15.8571428571429,466.428571428571
20009936.4207616,28271554.8287486,157450996.353259,214825508.27923,16.2857142857143,446.428571428571
19727453.3414429,28320916.7487352,153254466.128856,215549711.300023,16,453
19697348.7862623,28573938.4951725,152507327.026171,226063079.622815,14.1428571428571,512
19825216.1310791,29061324.5937329,155716684.685928,236283936.423996,13.8571428571429,486
20037682.5430348,29677158.3601426,162231599.237524,253814251.030675,12.2857142857143,467.714285714286
20328242.5072916,30326784.7064267,167347760.608878,264215884.545975,11.2857142857143,480.142857142857
20328242.5072916,30326784.7064267,167347760.608878,264215884.545975,11.2857142857143,448.142857142857
20328242.5072916,30326784.7064267,167347760.608878,264215884.545975,11.5714285714286,442.142857142857
20689568.9913899,30782439.5755543,170034132.324483,268490757.633551,12.8571428571429,430.285714285714
20646982.4736917,31082434.1944015,168011629.157006,263872486.649227,13.7142857142857,389.285714285714
20580125.4750186,31170398.6596127,165868229.470725,261925150.700904,13.2857142857143,362.428571428571
20446175.4099256,31177475.6469303,159237074.864569,252657131.470728,13.7142857142857,353.714285714286
20253257.9074097,31095038.5434073,154633531.046528,250341612.213685,13.5714285714286,331.714285714286
20253257.9074097,31095038.5434073,154633531.046528,250341612.213685,12.4285714285714,316.428571428571
20253257.9074097,31095038.5434073,154633531.046528,250341612.213685,11.2857142857143,310.142857142857
20053478.1845933,31097083.0031348,151227611.47517,250631069.46081,8.57142857142857,295.428571428571
20110357.0684097,30966356.8784019,152111649.923131,251410488.026546,7.57142857142857,268
20207417.7707906,30816370.1432913,152710712.533286,253558156.336544,6.42857142857143,264.428571428571
20373067.1995809,30669996.635718,154981057.68837,253160050.479248,5.14285714285714,237.285714285714
20462200.2981758,30574399.0985325,155395443.195018,253215422.536975,5.14285714285714,219
20462200.2981758,30574399.0985325,155395443.195018,253215422.536975,4.57142857142857,209.714285714286
20462200.2981758,30574399.0985325,155395443.195018,253215422.536975,4.28571428571429,187.285714285714
20561477.7935193,30111497.8493847,158650466.829528,255628231.03287,4.42857142857143,177
20502986.1698538,29357395.3250513,159323012.43149,258450403.26147,4.14285714285714,167.571428571429
20382306.0290604,29175185.3097545,159624964.528273,256534170.804891,5.57142857142857,150.285714285714
20326252.4200194,28618868.1460685,160516633.51149,258985051.275898,7,141.857142857143
20338145.5026089,27669580.0879861,163420741.722196,261685074.196536,7.42857142857143,130
20338145.5026089,27669580.0879861,163420741.722196,261685074.196536,8.14285714285714,116.571428571429
20338145.5026089,27669580.0879861,163420741.722196,261685074.196536,9.28571428571429,111.142857142857
20328952.1246329,26502737.454001,164048133.126498,264584114.691656,10.4285714285714,99.2857142857143
20383791.3476859,26469774.0111549,165966558.509882,265684451.135411,11.1666666666667,92.1666666666667
20544528.2567718,25476188.3254348,168741591.668563,268267746.715978,11,88.6
20553742.4178891,24369448.2633982,171535892.870408,271193395.232886,10,83
