weekly_wage,four_digit_code,anzsco_code,anzsco_text,geo_nsw,geo_vic,geo_qld,geo_sa,geo_wa,geo_tas,geo_nt,geo_act,geo_aus,ind_agri,ind_mining,ind_manuf,ind_elec_gas_water,ind_constr,ind_wholesale,ind_retail,ind_hosp,ind_transp,ind_media,ind_finance,ind_rent_hire_real_estate,ind_science_tech,ind_admin,ind_public_admin,ind_educ,ind_health,ind_arts,ind_other,anzsco_description,sa4_101,sa4_102,sa4_103,sa4_104,sa4_105,sa4_106,sa4_107,sa4_108,sa4_109,sa4_110,sa4_111,sa4_112,sa4_113,sa4_114,sa4_115,sa4_116,sa4_117,sa4_118,sa4_119,sa4_120,sa4_121,sa4_122,sa4_123,sa4_124,sa4_125,sa4_126,sa4_127,sa4_128,sa4_201,sa4_202,sa4_203,sa4_204,sa4_205,sa4_206,sa4_207,sa4_208,sa4_209,sa4_210,sa4_211,sa4_212,sa4_213,sa4_214,sa4_215,sa4_216,sa4_217,sa4_301,sa4_302,sa4_303,sa4_304,sa4_305,sa4_306,sa4_307,sa4_308,sa4_309,sa4_310,sa4_311,sa4_312,sa4_313,sa4_314,sa4_315,sa4_316,sa4_317,sa4_318,sa4_319,sa4_401,sa4_402,sa4_403,sa4_404,sa4_405,sa4_406,sa4_407,sa4_501,sa4_502,sa4_503,sa4_504,sa4_505,sa4_506,sa4_507,sa4_509,sa4_510,sa4_511,sa4_601,sa4_602,sa4_603,sa4_604,sa4_701,sa4_702,sa4_801,edu_bach,edu_school,edu_postgrad,edu_dipcert
2989,1111,111111,Chief Executive or Managing Director,20298.56279118441,16934.93491123845,10059.7410451572,3821.921733318135,6253.542566395019,1034.817523823734,586.1908322682145,1234.457465197049,60233.22097089223,880.1643240608897,998.7278174938629,6305.006399862285,585.0308585172214,4118.944684289368,3212.302114714163,2804.817685925949,1346.203586045313,1639.303156423119,1559.915884000836,2923.8288899954,1586.525129553122,9664.872660178225,2594.164565987561,3189.599899464958,2843.674632526992,4260.757310360416,1321.535021841131,2622.966186627679,Chief Executive or Managing Director,392.8329096729767,583.8840238451945,232.9470194250758,139.783156687533,130.6125000342727,339.8862455366036,480.5841452926397,220.2250366348166,172.7051599617942,209.6652831604454,691.7041525049206,367.7237559436161,179.1542106413972,298.9778858050704,1115.800377527054,292.7233869026257,1488.772684824712,2250.56797513677,871.3927132998105,1260.405734199498,3495.059860859602,1822.45828444331,373.0493045233916,462.3636454599045,527.6024881641739,707.3088378694393,428.9580550901592,797.8621967622905,265.8491674363613,253.0642674937844,597.5258555891163,287.439622269805,328.0738416249417,3542.234931725186,2168.881293181295,2789.640531105671,1041.367446880121,588.6657427102327,1401.979573445247,1295.375065062029,1037.725981874838,834.0104126170752,185.3115232750633,195.5184973478317,149.2347482703626,675.8956919386983,454.1919944449386,836.1192291863533,831.0436476146533,1531.875205776387,390.2740654784354,120.0368928089738,209.5421992810705,1718.059675146513,308.1942241344523,403.8337896445159,226.9750744402409,286.6111597903073,412.0880932728597,107.8987776243159,833.5529975353902,254.7585228309035,232.1486264131963,236.6929172277451,1496.655980524188,447.3077730381088,882.8841022266969,523.4181144269231,141.311554107815,96.27631844207644,248.0951293185353,237.8210218160878,129.8700564801693,1393.333649191171,509.0172399607459,1386.136291345929,990.1626226846877,1051.758229192734,210.5532781898443,164.4361604973674,180.2223667837679,580.2579573017301,255.3699674606323,70.095734,138.8310747593641,425.1239893948899,158.85638,1234.367108145592,17965.69606222693,11626.52359187167,26439.617,15001.237
2729.1,1112,111211,Corporate General Manager,16870.16339346592,14675.16827315823,9485.384738888002,3403.819518729435,5869.781839425717,859.2863462440906,585.1551607876734,1020.672817616357,52787.81106198732,671.9968720439317,934.6935631265869,4590.275670150424,833.3533069128312,3487.236207413566,3136.015093073641,3441.620184105026,3011.297975677509,2004.500450511431,3495.290244092588,3188.875591295982,1480.130937269787,4311.96886191834,2313.770477288411,3192.991165111624,1559.794379908256,4389.582075725733,1624.129489997779,2124.801880427434,Corporate General Manager,374.7649791232249,596.1878641573365,261.5064682727755,134.6440700059829,147.8249999694526,359.2791547763341,478.4780399452297,196.666079380678,156.3543755809985,217.8076241937909,658.6408789417943,350.3106530428258,196.4588787628911,221.4273078516126,918.2303584872934,418.4247207901251,1211.815665584383,1303.112900458144,794.990983256396,1056.325775272307,2244.262252328366,1227.648513621008,473.9865515761605,567.1686127428003,566.7250908864944,534.8521007041345,382.7368695120863,808.1243564037375,235.0558274537325,290.9726803334705,559.984964547735,267.7235473084404,314.6766140837759,2803.108267317465,1667.781975940944,2014.664416363038,1086.009222526923,643.5358361300308,1320.701110777897,1169.013742792327,1227.115915257972,687.3637966730284,149.4778032204788,125.2540374100208,119.7938795220107,674.8152370386115,510.9410203526767,787.8007787633065,684.0208710548113,1201.619277596124,385.1253310267958,108.9410456083715,256.7919108770997,1529.554907862204,371.9225211048791,378.8543800428447,256.6249714419246,318.5413687966819,472.2583284636509,65.76687401082467,700.4342064070013,228.0499679506196,324.189931742847,235.6770678758621,1098.876302199453,566.7395808735055,835.5672131792883,523.1307714702953,110.0211385916919,95.26288352161646,191.387671276927,238.7757196219573,134.9830507785082,936.8683631510271,534.7251813978048,1425.347851541788,1008.696237559622,1037.183785129896,157.1446418529978,203.4897485822439,180.2223667837679,482.6924597571631,199.4124047756195,47.746368,130.7241507768631,404.4366907958817,173.39226,1020.585851063305,15241.8079953735,10669.07354084212,21031.498,14415.561
,1113,111311,Local Government Legislator,256.2404126641209,241.8979792529561,392.7110377046097,107.5011469763632,146.4143517892253,64.95267689318757,20.71345697921865,6.213712077349044,1246.340721743456,3.03156483614223,,3.082127941836962,14.73099280441164,15.40752375120337,,3.04210161027507,,5.187668211028914,,7.275791766356803,3.129240885424949,7.315539433397078,12.46195948546377,1056.46151498831,31.81303265005219,72.14635013761854,,10.48766970402721,Local Government Legislator,15.34503553291647,4.111859319207541,17.36885671326282,10.27817328975837,6.074999999604188,11.22747358676044,12.3226703661494,5.121512482686987,8.175392193344312,11.19571899707789,8.246845333278316,17.41310264435439,6.107529910362691,5.102011699578725,12.40927202780998,0,9.266220040952462,7.239878598822473,3.097367467246785,4.122340914191289,16.57899727645223,6.216458045063377,12.36627530004915,10.2976313119289,6.194941153829734,6.195405873841209,6.157292656367645,5.154148552847834,8.211557291448116,8.196413526777178,5.2140127063139,16.42512129558122,20.50461510155886,29.10286919160161,9.434476383350201,15.66627026656992,21.825066262829,9.327450159471482,14.58225411612496,12.52578629465906,14.57187936449331,18.71843817774853,12.2858468516471,8.146604049950838,13.19763079844415,14.46871513477527,8.258036261925774,12.60481246705626,9.384432682132189,7.314547379314205,37.07088751821099,32.27882833732292,39.03237045359943,27.07245550456649,19.84979750302131,13.5305135404456,13.29133317293599,15.46463093999773,8.304042175587835,55.49080000277809,20.7868577762295,12.32702529633696,21.47630461701192,31.49133232235909,32.01955520162291,12.25500747954156,15.41706814510758,4.129531469477418,17.15926014166325,3.040304792579263,24.30319634219632,15.37635916613063,7.158192099072039,25.01122482474138,7.198223584387666,19.61026771691859,18.54623021097009,19.57238623561915,16.43342660074959,8.221808019327,10.18205462046899,31.4377712187469,10.17410229146481,11.174683,18.2405791785568,8.274919502031606,10.38277,6.213257262456201,304.520819257713,281.2370141110733,408.45398,337.02539
1710.1,1212,121211,Cotton Grower,257.188977478079,0,182.8245199894729,0,0,0,0,0,437.038720622767,411.6523000770467,,0,0,0,3.500191418045714,0,0,0,,0,0,0,0,0,0,0,0,0,Cotton Grower,0,0,0,0,33.76592248087832,0,0,0,12.21574183056975,153.6650165778329,0,0,59.48004996098496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.0435969320847,38.49864894339803,7.106888427946121,0,0,0,0,0,0,0,5.059605713366327,0,3.611686292887697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.74035268696863,184.8189174936979,7.1477833,161.84825
1632.4,1213,121311,Apiarist,529.669639512201,245.5460804694183,264.3084921539138,179.3901621706734,131.928529633308,67.03145993037867,3.493954393852849,3.463222880496598,1413.546952425561,1158.208900204021,0,66.81429075020293,0,11.71379419886865,23.14362178942835,7.444013529077566,6.256844615189252,0,,5.825598910136051,0,9.811656448782017,6.237045898639359,5.448949412677699,7.027760306164801,14.45028932983215,0,5.501226112654891,Apiarist,50.73056008262893,3.776601307268205,82.27560365137899,41.94610668397296,24.81334749320857,17.87017974118382,0,50.30569512724131,20.68404131877762,86.83625276043909,5.532423151864801,50.5291841252735,44.1930956635062,10.52845683242152,0,3.397095054143157,3.350738326317725,0,0,0,3.692894343555608,0,7.066057600166346,8.002659272246616,0,0,4.779345000592198,0,18.82844563797001,61.57777790156092,8.703401584047768,28.77917014992796,13.48483974129587,3.658873662086973,3.673983944429791,0,4.857729186899297,5.098666508880683,12.55382638918083,7.088083626888239,3.639970015423907,5.646369690865588,42.78360754929624,18.05338915029827,3.404501631164924,5.674910622558585,0,10.35279354189748,3.640538397379398,3.775395393528132,3.456574871206778,33.49639440627682,14.28255586934476,15.88054434623021,19.47268892148501,23.16313651221475,3.308265340434509,10.67776929496926,4.709694172108726,9.881638608175034,26.55522620608907,22.50591887869132,12.11528522441871,57.46461399056761,26.66980918849757,10.74878704240893,11.00122928037854,0,40.7903448216658,7.055209245027921,86.70551453064434,15.97046486170925,0,11.60705955549069,14.5791338742861,3.536333574678352,32.00414335015034,7.313509810116003,43.43967973586433,0,10.87467602479463,8.608625808543559,27.89351086883086,9.5896072,12.78698949472252,0,3.3981237,3.462992870608609,141.6051768406967,689.5055748455147,53.41357,413.0751
,1214,121411,Mixed Crop and Livestock Farmer,8564.714023006876,4659.86475184474,2665.899080631262,4175.661179270624,4892.237968396246,561.8282474965697,13.30112297887649,8.080853365597385,25563.87490205548,24123.70882456913,,84.33812808954906,7.453597235633083,28.44778600994539,69.62947613017042,31.09212268064266,24.04558671441953,45.31688400639069,7.220249529113062,5.031199103004127,8.416540086845373,36.97694153338671,18.94044077898806,8.202719521973307,24.72926172121248,18.02401661108127,,28.81594637344097,Mixed Crop and Livestock Farmer,465.1052797320185,18.80797490949163,1986.054183997934,67.75190345871283,1434.911019512099,139.0918049949844,3.493388603081964,65.76861024378348,1154.241000943683,1386.146956608689,7.745392407989034,134.655829155517,1578.409613026994,20.46320365599168,9.850444429339177,,3.350738326317725,10.28040866305765,,,17.333993959846,,4.392106636633685,5.592814279445669,,,,3.711108179490644,428.3858847875481,538.0950431327274,167.0041016115169,352.4542863347933,199.9322612480056,15.41469919229576,10.59803065058675,6.960661127736067,30.01596858335532,14.03632887300029,12.06289463728893,32.27844766339149,18.36945436572969,9.999538587998565,1885.845168702492,425.0151852618983,482.954113786192,4.539928506516894,3.646385582685127,3.450931201187274,12.32182222157437,7.106626630142507,82.43931103247178,1258.067272082344,376.8194089775048,10.25228165766265,106.2304717494435,19.75265259075093,182.9675891273987,17.70774355074278,3.532270603301797,45.74030010815997,37.38128128989564,79.56637987282045,58.21990636900534,337.6229701362331,66.82289862795244,24.49346938472537,20.40311041469014,8.862962303270642,1583.415730249295,950.4054385796985,1488.847370402566,301.2534591641634,9.753592478314534,35.65688713484914,26.28449603912054,20.48485901550163,46.15189768645405,19.36281706539614,3675.338074138461,3.316359527784568,700.0703196268951,32.48884377372451,265.1583336627582,96.526627,169.9466279680291,,16.400211,8.080316689487333,2254.20630861248,13886.59037478167,833.93237,7085.6382
2510.3,1311,131112,Sales and Marketing Manager,40712.6717496142,31997.46322011618,18620.5944286812,6048.004136226464,9484.396065015728,1089.632228506452,459.3792826311918,999.8935537985479,109371.4270719677,909.6985523929004,702.2244058534034,13113.53702242792,1344.106544936137,4350.447817937194,14855.85430340144,13769.2634858427,2982.411130669405,3349.434714677451,5054.633783242773,8391.554570627137,3917.881456180548,12781.30970557593,4318.794825287616,1687.384875328892,3304.103374564223,2640.837021042935,2268.430038640087,2505.716399366428,Sales and Marketing Manager,373.7684345046838,1256.024055072705,328.1268517676851,229.2683959126383,124.2397771046293,543.6058487269459,864.1246552486757,245.1574569406069,220.5136908417431,265.9269433793157,1154.092503627334,491.555880301764,272.1779459159918,303.0834811033828,2223.603012405235,1253.980472627614,3833.430831159119,3840.42131575806,2318.337545123443,3110.072128948664,5454.64866168665,3645.189920008129,965.4068456809118,1233.615731742634,1784.501408836436,1528.115325802487,1073.315823398422,1857.782530012416,317.5034017623328,387.8674578701825,948.1618547600626,313.5409396938379,388.3664470357116,6775.159224987039,3205.955130454353,4434.312887989094,2545.778658947078,1434.910822355869,3097.951775208883,3054.156798815953,3034.186279895547,1572.562672093527,185.9915530576727,212.1701626432645,148.1328276562892,1405.503937154642,1196.091626792737,1893.273817897299,1205.954590425426,2542.376486207357,509.5524595526215,139.2007238699368,287.1656172442986,3316.094818547189,853.5567214458524,902.8566005122284,276.5157251596942,627.6887499657071,1064.024184834624,34.18775018479094,1284.61094250121,345.2470712523459,479.7864767625343,297.3131422017322,1844.994987428841,1041.004083703632,1692.463766727491,1007.7327114345,192.1725594067188,53.01613022410063,234.727607023491,312.0124378337977,159.6534276813907,1250.589336192882,1039.858160811129,2871.564498908738,1733.877431002383,1690.047190625806,186.1307268190951,125.2106337273954,128.5738830874289,590.1481130755135,287.1458276111101,44.867737,165.6809645425943,383.4733325969788,76.646973,999.8411662717878,35351.48171993489,26731.82498667955,30212.646,27823.137
2814,1321,132111,Corporate Services Manager,1798.869314208207,1743.358134047719,1833.375397291442,456.7530808896731,1325.309821729605,111.9747263890357,105.0106677818597,632.0350320177799,8007.882771067731,39.13485813691037,53.97347675564766,212.2964295138397,132.6380934059088,248.4215065731079,194.7928002814689,191.8773458432235,81.94832739790269,236.4856555597268,124.8179408004958,476.7493792182789,133.3399209225772,842.4402633573864,251.0213465849053,1916.014349786528,1640.921286498222,676.3812997009402,104.7716913882722,226.2493153132564,Corporate Services Manager,115.1834698898614,56.91648858407431,43.99285345675486,16.46818668923917,18.68336716389957,39.11294283789675,58.42616358333674,28.33743994883825,22.47854380683059,29.06655352418645,71.03313464715802,38.30124696329634,26.09908833547081,26.91052812988908,78.06296849847334,69.36914806318657,133.8818906754522,108.169919205241,99.16621824695208,104.0554364619262,174.7606450893568,89.1278851732387,51.10541191440457,68.58797589220046,72.48402948734474,59.69386497581613,35.76597343241507,84.66222685189003,38.49508698009785,35.0442138876523,70.8702207550007,33.15110868341407,52.32397851099751,293.5237229169289,174.2938537118141,208.7557874177383,133.5946581301076,85.19338161326775,151.208176299157,151.5009149016652,180.6521748003069,60.34996344016753,34.35603316389384,28.61831717858564,17.70584604076976,108.6640820956984,105.7476727628189,135.0506066021961,64.4960394533307,122.3460211813332,92.5103174875475,46.75661799353141,82.18787097408757,181.860109840493,125.5067507679405,130.558500991534,56.61922482331504,93.17772032178327,105.7374071569863,47.40329454074356,104.3634274999723,53.13736851599198,76.18580620589104,95.50813669191437,124.5954167561306,79.8592954981909,136.4313445106617,55.74493423054066,17.95368966777575,12.82089425020217,24.6140925451808,86.17820696462645,42.82455913364269,71.65655835229595,153.6123863347433,282.2567060602548,220.368554102938,182.8849944171424,115.2778337273874,65.87168138350708,102.1933576859271,66.10821762333198,16.96818283770302,5.500721,18.26938296685151,81.59202048867738,28.865465,626.6842934268969,2077.887242213,1907.881525108678,3021.9084,2293.135
3036.6,1322,132211,Finance Manager,19983.56515381817,14595.25974268751,7853.921722317515,2788.767052146206,4710.267096066278,620.339982610767,416.726545708804,1385.574273313169,52314.97726984485,582.5503155535727,1094.582110126257,4168.630922686481,897.0523626486047,2992.050190745316,3379.376812120722,2408.765317617513,1376.731894840864,1905.528648923189,1474.912919970559,9809.174417464677,1729.970521206119,6328.097771907574,1554.969337677205,3727.072194336899,2149.574342694023,3002.126060179743,832.4794182767273,1328.144632816654,Finance Manager,357.3917006304536,448.8885320849814,210.30729923368,94.41760386309531,108.8031380839554,262.925893558284,373.7069708503386,132.9679872480777,154.1385861546095,167.9400865843598,527.830831176713,219.9585889519575,190.3058523070951,153.9282205708041,1181.786605287907,693.6914812452555,1479.231621321922,1549.699651551995,1235.763639176589,1517.01873271514,3400.688282705491,1521.776115532064,387.0963126110423,431.1244199155989,1022.349370983931,908.4320894997666,521.3161601491206,774.0546482450407,186.6428463317483,189.2387552265127,415.9268677487069,178.3301023676555,219.7607112949572,2497.227030117225,1811.49412582709,2190.205753134337,1085.020965753252,644.2020074760737,1440.021619060014,1475.950311996817,1458.037882048939,432.1057387014964,171.7801657306754,119.2429883070727,102.6939069575673,502.1424431314575,530.9646323382958,911.8706251074047,667.9946923768348,1065.196092728421,296.946697891922,83.24958850755584,132.4137924923142,1108.425860729879,323.8522399299142,330.8982678822743,137.503831171384,232.9443010704727,480.4156118121691,54.01770777513082,443.2514107717,184.8256297161047,233.1058247374771,138.0840530822012,881.9188612964329,499.3867950979119,680.0081988168844,445.9594738443253,91.88064724705828,38.46268274794108,161.596868505725,127.1128550070717,63.68780582620639,848.6823647720651,411.8119274976298,1313.202048673419,892.4926444232424,788.8292501571129,112.1050492196998,65.87168138350708,104.3910643604694,382.0830890782881,139.1390986710223,23.103029,82.2122230423897,314.2395381398674,108.8006,1385.526496184045,24319.30218383468,6679.291837204884,23813.615,7738.625
2831.1,1323,132311,Human Resource Manager,16945.52321048258,13798.39542300323,8746.232423907113,2713.713729975098,5441.321577894114,810.6970175423055,558.2146037774517,1542.250747351066,50463.23798147858,384.6397469469614,1564.151353758063,3690.691781033623,1281.004738781969,2855.748119561039,1844.409542416421,2228.81255076502,1537.3506174544,2524.029590871906,1375.287588434383,3444.682136227711,739.1169706892276,4804.560128121157,4213.978272376035,6108.691438723279,4056.209918868815,4246.536313659208,791.4817972815358,1447.995621056882,Human Resource Manager,393.9920555016685,517.6178773257843,219.9642668474603,105.3963948123152,112.1002028114054,322.6817788329209,579.8521135549593,166.7549347055929,156.2793998117196,139.9500724976257,732.1876963550596,225.4301956917076,185.9560046356956,152.8517995332473,762.1981502966829,559.288756807563,1463.993033390591,1165.586068362393,993.841655224674,1238.807356770447,1905.880244611881,1119.05011366768,442.5511209176302,704.3876247637758,727.0039960158529,566.5490450061825,469.2929250819209,841.1247260502355,248.4682900106122,235.9643734256766,572.7708009414091,229.7714779350204,305.8045857791933,2583.691380027336,1286.288636761047,1741.553813251607,1110.578203465215,709.5558364161743,1219.115925269963,1078.260418137933,1553.608706702443,538.3216710578856,142.1628958955426,131.1672865025621,139.2859882526902,642.8338335831938,613.3365019815744,875.0386414219918,619.6226635239,1097.746867401035,308.3677242496035,82.10918294105377,276.2425658873921,1024.401879794029,454.9619718939996,446.8252131827087,244.9648091862925,317.0315117691426,494.2074480975766,55.12010980227274,466.7038682336046,227.5665551564234,320.6626472103049,201.3725768850444,697.7343348361831,546.2375808892848,698.2706600384776,448.1035106918657,90.82454782819804,79.06218128005432,156.2459789039407,210.0593797947653,121.8852836439619,681.8569403225165,561.0665170982288,1354.614229031905,1040.139575817357,997.0537355190795,96.2411269604503,200.8023841733387,181.3107965295056,475.0827854287126,179.8627380517305,44.005768,113.0418063984964,444.3457329972249,108.8006,1542.197570252688,15763.81298650984,7363.03471165617,23141.342,14513.027
